time_key,open,close,high,low,volume,turnover,last_close
2026-01-15 10:35:00,625.5,625.0,625.5,625.0,14200,8879429.8,625.5
2026-01-15 10:36:00,625.0,625.5,626.0,625.0,67900,42470652.8,625.0
2026-01-15 10:37:00,626.0,625.5,626.0,625.5,10600,6632625.0,625.5
2026-01-15 10:38:00,625.5,626.0,626.0,625.5,42400,26532525.0,625.5
2026-01-15 10:39:00,625.5,626.0,626.0,625.5,28200,17648775.0,626.0
2026-01-15 10:40:00,625.5,625.5,626.0,625.5,62600,39157610.0,626.0
2026-01-15 10:41:00,625.5,626.5,626.5,625.5,57300,35873800.0,625.5
2026-01-15 10:42:00,626.0,626.5,626.5,625.5,68800,43070050.0,626.5
2026-01-15 10:43:00,626.5,625.5,626.5,625.5,26300,16462225.0,626.5
2026-01-15 10:44:00,626.0,626.0,626.0,625.5,12200,7633750.0,625.5
2026-01-15 10:45:00,625.5,625.0,626.0,625.0,65500,40961239.5,626.0
2026-01-15 10:46:00,625.5,624.5,625.5,624.5,131300,82042218.9,625.0
2026-01-15 10:47:00,625.0,624.5,625.0,624.5,12000,7494925.0,624.5
2026-01-15 10:48:00,624.5,624.5,625.0,624.5,57800,36097300.0,624.5
2026-01-15 10:49:00,624.5,625.0,625.5,624.5,102700,64184275.0,624.5
2026-01-15 10:50:00,625.5,625.5,625.5,625.0,16100,10065200.0,625.0
2026-01-15 10:51:00,625.0,624.5,625.5,624.5,104200,65123652.0,625.5
2026-01-15 10:52:00,624.5,624.0,625.0,624.0,38700,24165775.0,624.5
2026-01-15 10:53:00,624.0,624.5,625.0,624.0,112600,70318801.3,624.0
2026-01-15 10:54:00,624.5,625.5,626.0,624.5,98800,61772550.0,624.5
2026-01-15 10:55:00,626.0,625.5,626.5,625.5,24100,15084431.6,625.5
2026-01-15 10:56:00,626.0,626.0,626.5,625.5,43600,27290450.0,625.5
2026-01-15 10:57:00,626.0,626.0,626.5,625.5,34900,21842857.4,626.0
2026-01-15 10:58:00,625.5,625.0,626.0,625.0,83900,52472033.0,626.0
2026-01-15 10:59:00,625.0,626.0,626.0,625.0,35700,22323035.8,625.0
2026-01-15 11:00:00,626.0,625.0,626.0,625.0,77100,48218911.3,626.0
2026-01-15 11:01:00,625.0,626.5,626.5,625.0,46000,28793675.0,625.0
2026-01-15 11:02:00,626.5,625.5,626.5,625.0,66700,41728777.2,626.5
2026-01-15 11:03:00,625.5,625.0,626.0,625.0,18000,11256025.0,625.5
2026-01-15 11:04:00,625.5,625.0,625.5,625.0,10800,6751599.5,625.0
2026-01-15 11:05:00,625.5,625.5,625.5,624.5,55700,34810325.0,625.0
2026-01-15 11:06:00,625.5,625.5,626.0,625.0,63400,39657044.8,625.5
2026-01-15 11:07:00,625.5,625.5,626.0,625.0,35100,21955221.1,625.5
2026-01-15 11:08:00,625.5,626.0,626.0,625.5,13100,8194651.2,625.5
2026-01-15 11:09:00,626.0,625.5,626.0,625.0,30600,19140500.0,626.0
2026-01-15 11:10:00,625.0,626.0,626.0,625.0,43200,27025025.0,625.5
2026-01-15 11:11:00,625.5,625.5,626.0,625.5,20400,12767023.4,626.0
2026-01-15 11:12:00,625.5,625.5,626.0,625.0,35700,22332100.0,625.5
2026-01-15 11:13:00,625.5,625.5,625.5,624.5,128800,80493675.0,625.5
2026-01-15 11:14:00,625.0,624.5,625.5,624.5,39300,24560550.0,625.5
2026-01-15 11:15:00,624.5,624.0,625.0,624.0,74600,46588850.0,624.5
2026-01-15 11:16:00,624.5,624.5,624.5,624.0,46800,29205455.0,624.0
2026-01-15 11:17:00,624.5,624.0,624.5,624.0,34500,21534948.6,624.5
2026-01-15 11:18:00,624.5,624.0,624.5,624.0,7500,4680850.0,624.0
2026-01-15 11:19:00,624.0,625.0,625.0,624.0,267500,166972200.0,624.0
2026-01-15 11:20:00,625.0,624.0,625.0,624.0,112700,70378400.0,625.0
2026-01-15 11:21:00,624.5,624.0,624.5,624.0,14300,8927225.0,624.0
2026-01-15 11:22:00,624.5,624.5,624.5,624.0,13800,8611675.0,624.0
2026-01-15 11:23:00,624.0,624.5,624.5,624.0,10000,6241412.5,624.5
2026-01-15 11:24:00,624.0,624.5,624.5,624.0,15700,9801175.0,624.5
2026-01-15 11:25:00,624.0,624.5,624.5,624.0,11600,7241825.0,624.5
2026-01-15 11:26:00,624.0,624.0,624.5,624.0,18900,11796050.0,624.5
2026-01-15 11:27:00,624.5,624.0,624.5,624.0,13700,8552425.7,624.0
2026-01-15 11:28:00,624.5,624.5,625.0,624.0,137400,85802675.0,624.0
2026-01-15 11:29:00,625.0,624.5,625.0,624.5,17200,10747275.0,624.5
2026-01-15 11:30:00,625.0,624.5,625.0,624.5,12600,7872650.0,624.5
2026-01-15 11:31:00,625.0,624.0,625.0,624.0,126200,78805525.0,624.5
2026-01-15 11:32:00,624.0,624.0,624.5,624.0,11600,7242125.0,624.0
2026-01-15 11:33:00,624.0,624.0,624.5,624.0,17600,10985575.0,624.0
2026-01-15 11:34:00,624.0,624.0,624.5,624.0,21900,13673825.0,624.0
2026-01-15 11:35:00,624.5,624.5,625.0,624.0,43200,26982425.0,624.0
2026-01-15 11:36:00,624.5,625.0,625.0,624.5,8900,5559400.0,624.5
2026-01-15 11:37:00,624.5,624.5,625.0,624.5,8500,5308825.0,625.0
2026-01-15 11:38:00,624.5,624.5,625.0,624.5,6700,4184950.0,624.5
2026-01-15 11:39:00,624.5,624.5,625.0,624.5,15500,9681673.6,624.5
2026-01-15 11:40:00,624.5,624.0,625.0,624.0,54300,33904500.0,624.5
2026-01-15 11:41:00,624.0,624.5,624.5,624.0,54000,33718525.0,624.0
2026-01-15 11:42:00,624.5,625.0,625.0,624.5,15600,9742725.0,624.5
2026-01-15 11:43:00,625.0,624.5,625.0,624.5,3800,2373475.0,625.0
2026-01-15 11:44:00,624.5,624.5,625.0,624.5,3300,2061125.0,624.5
2026-01-15 11:45:00,624.5,624.5,625.0,624.5,10100,6310150.0,624.5
2026-01-15 11:46:00,624.5,624.5,625.0,624.5,6100,3809800.0,624.5
2026-01-15 11:47:00,625.0,624.5,625.0,624.5,6000,3747800.0,624.5
2026-01-15 11:48:00,624.5,624.5,625.0,624.5,10800,6745775.0,624.5
2026-01-15 11:49:00,625.0,624.5,625.0,624.5,9200,5747475.0,624.5
2026-01-15 11:50:00,625.0,625.0,625.0,624.5,5800,3622800.0,624.5
2026-01-15 11:51:00,624.5,624.5,625.0,624.5,12800,7995225.0,625.0
2026-01-15 11:52:00,624.5,624.5,625.0,624.5,5200,3247600.0,624.5
2026-01-15 11:53:00,624.5,624.5,625.0,624.5,12200,7619825.0,624.5
2026-01-15 11:54:00,624.5,624.0,624.5,624.0,46400,28970050.0,624.5
2026-01-15 11:55:00,624.0,624.0,624.5,624.0,12100,7552200.0,624.0
2026-01-15 11:56:00,624.5,624.0,624.5,624.0,26700,16667600.0,624.0
2026-01-15 11:57:00,624.5,624.0,624.5,624.0,14500,9051225.0,624.0
2026-01-15 11:58:00,624.5,624.0,624.5,624.0,10000,6241575.0,624.0
2026-01-15 11:59:00,624.5,624.5,624.5,624.0,19300,12045025.0,624.0
2026-01-15 12:00:00,624.0,624.5,624.5,624.0,18300,11425375.0,624.5
2026-01-15 13:01:00,624.0,624.5,625.0,624.0,353800,220891150.0,624.5
2026-01-15 13:02:00,624.5,623.0,624.5,623.0,371400,231643300.0,624.5
2026-01-15 13:03:00,623.0,623.0,623.5,623.0,26800,16698400.0,623.0
2026-01-15 13:04:00,623.5,623.0,623.5,623.0,21200,13213575.0,623.0
2026-01-15 13:05:00,623.5,623.0,623.5,623.0,17100,10655725.0,623.0
2026-01-15 13:06:00,623.0,623.0,623.5,623.0,77200,48113700.0,623.0
2026-01-15 13:07:00,623.0,623.5,624.0,623.0,37200,23193475.0,623.0
2026-01-15 13:08:00,623.5,624.0,624.0,623.5,12000,7484575.0,623.5
2026-01-15 13:09:00,623.5,623.5,624.0,623.5,17700,11038900.0,624.0
2026-01-15 13:10:00,623.5,624.5,624.5,623.5,214100,133597200.0,623.5
2026-01-15 13:11:00,624.5,625.0,625.0,624.0,42700,26664964.3,624.5
2026-01-15 13:12:00,624.5,625.5,625.5,624.5,26200,16376525.0,625.0
2026-01-15 13:13:00,625.0,625.0,625.5,625.0,12000,7504275.0,625.5
2026-01-15 13:14:00,625.5,625.5,625.5,624.5,146200,91387000.0,625.0
2026-01-15 13:15:00,625.5,625.0,626.0,625.0,44000,27501675.0,625.5
2026-01-15 13:16:00,625.5,625.5,626.0,625.0,112800,70571950.0,625.0
2026-01-15 13:17:00,626.0,625.5,626.0,625.5,31900,19960700.0,625.5
2026-01-15 13:18:00,625.5,625.0,626.0,624.5,143800,89889600.0,625.5
2026-01-15 13:19:00,624.5,624.5,625.0,624.5,55600,34744925.0,625.0
2026-01-15 13:20:00,624.5,624.0,625.0,624.0,53900,33652950.0,624.5
2026-01-15 13:21:00,624.0,623.5,624.0,623.5,62500,38988500.0,624.0
2026-01-15 13:22:00,624.0,624.0,624.5,623.5,47500,29640971.3,623.5
2026-01-15 13:23:00,624.0,623.5,624.5,623.5,52400,32693600.0,624.0
2026-01-15 13:24:00,623.5,623.5,624.0,623.5,13800,8604875.0,623.5
2026-01-15 13:25:00,623.5,623.0,624.0,623.0,38700,24121675.0,623.5
2026-01-15 13:26:00,623.5,623.5,623.5,623.0,31900,19875350.0,623.0
2026-01-15 13:27:00,623.5,624.0,624.0,623.0,86500,53924850.0,623.5
2026-01-15 13:28:00,623.5,623.5,624.0,623.0,34400,21451750.0,624.0
2026-01-15 13:29:00,623.5,623.5,624.0,623.0,42100,26252425.0,623.5
2026-01-15 13:30:00,624.0,623.0,624.0,623.0,49600,30915375.0,623.5
2026-01-15 13:31:00,623.5,623.0,623.5,623.0,34000,21183875.0,623.0
2026-01-15 13:32:00,623.5,623.5,623.5,623.0,32100,20001800.0,623.0
2026-01-15 13:33:00,623.0,623.0,623.5,622.5,97100,60480639.7,623.5
2026-01-15 13:34:00,622.5,622.0,623.0,622.0,106400,66221375.0,623.0
2026-01-15 13:35:00,622.0,622.5,622.5,622.0,53100,33046875.0,622.0
2026-01-15 13:36:00,622.5,621.5,622.5,621.5,394300,246069813.61,622.5
2026-01-15 13:37:00,621.5,621.5,622.0,621.0,43400,26964804.0,621.5
2026-01-15 13:38:00,621.0,621.5,622.0,621.0,43400,26966755.9,621.5
2026-01-15 13:39:00,622.0,622.5,623.0,621.5,144200,89700075.0,621.5
2026-01-15 13:40:00,623.0,622.0,623.0,621.5,88100,54815278.2,622.5
2026-01-15 13:41:00,621.5,621.0,622.0,621.0,43400,26972525.0,622.0
2026-01-15 13:42:00,621.5,621.5,622.0,621.0,40100,24918700.0,621.0
2026-01-15 13:43:00,622.0,621.5,622.5,621.5,291200,181075840.5,621.5
2026-01-15 13:44:00,621.5,621.5,622.0,621.5,11600,7212950.0,621.5
2026-01-15 13:45:00,621.5,622.5,623.0,621.5,40800,25393000.0,621.5
2026-01-15 13:46:00,622.5,622.5,623.0,622.5,16800,10460258.8,622.5
2026-01-15 13:47:00,622.5,622.5,623.0,622.5,16000,9962275.0,622.5
2026-01-15 13:48:00,622.5,622.0,623.0,622.0,129300,80486375.0,622.5
2026-01-15 13:49:00,622.5,622.0,622.5,621.5,71200,44277975.0,622.0
2026-01-15 13:50:00,622.0,621.5,622.0,621.5,17100,10630529.2,622.0
2026-01-15 13:51:00,622.0,621.5,622.5,621.5,65600,40798794.8,621.5
2026-01-15 13:52:00,621.5,621.5,622.0,621.5,11900,7397800.0,621.5
2026-01-15 13:53:00,621.5,621.5,622.0,621.5,22300,13861196.7,621.5
2026-01-15 13:54:00,621.5,621.0,622.0,621.0,129400,80398448.3,621.5
2026-01-15 13:55:00,621.5,621.0,621.5,621.0,27800,17270037.8,621.0
2026-01-15 13:56:00,621.0,621.0,621.5,621.0,29000,18013128.3,621.0
2026-01-15 13:57:00,621.5,620.5,621.5,620.5,115100,71453754.7,621.0
2026-01-15 13:58:00,620.5,620.0,621.0,620.0,58100,36050650.0,620.5
2026-01-15 13:59:00,620.5,620.0,620.5,620.0,24500,15194305.9,620.0
2026-01-15 14:00:00,620.5,621.0,621.0,620.5,168900,104848832.2,620.0
2026-01-15 14:01:00,621.5,620.0,621.5,619.5,350400,217325200.0,621.0
2026-01-15 14:02:00,620.0,620.0,620.5,620.0,15800,9797563.8,620.0
2026-01-15 14:03:00,620.0,620.5,621.0,620.0,47500,29473869.6,620.0
2026-01-15 14:04:00,620.5,620.5,621.0,620.5,17000,10550320.8,620.5
2026-01-15 14:05:00,620.5,621.0,621.0,620.5,16500,10241193.8,620.5
2026-01-15 14:06:00,621.0,621.0,621.5,620.5,50200,31175006.0,621.0
2026-01-15 14:07:00,621.5,621.5,621.5,621.0,18300,11365351.4,621.0
2026-01-15 14:08:00,621.0,620.5,621.5,620.5,85800,53270350.0,621.5
2026-01-15 14:09:00,620.5,620.5,621.0,620.0,64700,40151033.4,620.5
2026-01-15 14:10:00,620.0,620.0,620.5,620.0,22200,13764900.0,620.5
2026-01-15 14:11:00,620.5,620.0,620.5,620.0,100800,62498232.4,620.0
2026-01-15 14:12:00,620.0,619.5,620.0,619.5,63900,39608000.0,620.0
2026-01-15 14:13:00,619.5,619.5,620.0,619.5,27100,16790275.0,619.5
2026-01-15 14:14:00,619.5,619.0,620.0,619.0,54800,33946455.0,619.5
2026-01-15 14:15:00,619.5,619.0,619.5,619.0,107300,66420440.7,619.0
2026-01-15 14:16:00,619.0,619.0,619.5,618.5,47400,29341850.0,619.0
2026-01-15 14:17:00,619.0,620.0,620.5,619.0,151600,93954975.0,619.0
2026-01-15 14:18:00,620.0,619.5,620.5,619.5,49000,30376239.1,620.0
2026-01-15 14:19:00,619.5,619.5,620.0,619.5,22700,14068965.0,619.5
2026-01-15 14:20:00,619.5,620.0,620.0,619.5,15900,9853051.1,619.5
2026-01-15 14:21:00,619.5,620.5,620.5,619.5,65700,40732937.7,620.0
2026-01-15 14:22:00,620.0,620.5,620.5,620.0,64500,39997500.0,620.5
2026-01-15 14:23:00,620.5,621.0,621.0,620.5,70800,43935925.0,620.5
